ind,race,x,state,mean,se_mean,sd,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,n_eff,Rhat,svy_mean,svy_se
"1,1,1",hispanic,0,lost_none,0.9936509018300277,9.003926361057257e-6,7.046800500524769e-4,0.9922771519828256,0.9924792904921064,0.9927491850067571,0.993174788910353,0.9936570054595351,0.994125877394261,0.9945446853138556,0.9947950174591771,0.9950447502106511,6125.197324218033,0.9997097508240192,0.993642812875121,7.1019460014204e-4
"1,1,2",hispanic,0,lost_mom,0.0014004751273656879,3.895829923001819e-6,2.863093060941755e-4,8.406231279567442e-4,9.248088580473706e-4,0.0010335130513137105,0.0012144129128779295,0.0014001425153654674,0.0015898583184111438,0.0017697467447898955,0.0018688367693953844,0.001958841417114574,5400.959875118128,1.000155458555509,0.00139602485420676,2.8742569176793e-4
"1,1,3",hispanic,0,lost_dad,0.004647863317930504,8.480427266704314e-6,6.416275936042744e-4,0.003382320509987783,0.003590616818773332,0.0038306197551795755,0.004221489663933453,0.00463984784735454,0.0050824037874356905,0.005482042032668633,0.005706722707517423,0.005894477179149162,5724.408238997732,1.0001091770440764,0.00465418746870146,6.4104367507523e-4
"1,1,4",hispanic,0,lost_both,3.007597246761564e-4,1.3005895440414313e-5,0.0010049195727159942,-0.0016309073363586612,-0.0013276635569738349,-9.9207462889499e-4,-3.825809073470521e-4,2.9897857548683016e-4,9.744486510571138e-4,0.0015699430389884872,0.0019487963905346025,0.002308822257834987,5970.106707171766,1.000402542898189,3.0697480196828e-4,1.7931691912988e-4
"1,2,1",hispanic,5,lost_none,0.975613642677585,2.7608769071695875e-5,0.002102390128824188,0.9714202623033059,0.9721061442539332,0.9728835264669069,0.9742448881960879,0.9755921030638595,0.977068900660943,0.9782995634046783,0.9790093679279618,0.979705142697107,5798.725213905428,1.0000258843396896,0.975594261769658,0.00210054934381518
"1,2,2",hispanic,5,lost_mom,0.005506771044048977,1.0691075216948333e-5,8.094630638936636e-4,0.0039121383406348345,0.004173990574640189,0.004479365499949883,0.004966455488072882,0.0055090332408268125,0.006048424805221463,0.0065583029088835945,0.006836227577159127,0.007100054703197567,5732.595560058861,1.0001628531400364,0.0055087248553124,7.9788846131569e-4
"1,2,3",hispanic,5,lost_dad,0.017714135580395605,2.318223802920162e-5,0.0018018552694009393,0.014158414825017486,0.014746108667470623,0.015436366488463757,0.016506260689216963,0.017696309113215625,0.018904472324172354,0.02003452423047098,0.020685310719330073,0.021271989984054787,6041.281697987652,1.0007714776113839,0.0176887760128568,0.00180874987321659
"1,2,4",hispanic,5,lost_both,0.0011654506979704219,3.636742932367908e-5,0.0028617631192039764,-0.004341329923308007,-0.003506182251459511,-0.0025109161922399537,-7.927221413941421e-4,0.0011517194465613945,0.0030978394690702737,0.004837139515201994,0.005940847690351671,0.006854416000687899,6192.159832582393,0.9999723405201925,0.00120823736216904,5.5895561754806e-4
"1,3,1",hispanic,10,lost_none,0.9546552611241935,4.122084445430445e-5,0.0031804623802006776,0.9484773609479835,0.9494062260274427,0.950694097094907,0.9524713094165849,0.9546594351633253,0.9567980635161565,0.95867524049234,0.959927893772232,0.9609894084807998,5953.149058261264,1.0000371959938228,0.954603700914649,0.00318243546542922
"1,3,2",hispanic,10,lost_mom,0.011235430130355082,1.6036545730253166e-5,0.0012613626981934187,0.00881154267983822,0.009174108815519697,0.009629848131549044,0.010379685025665216,0.011234969290887985,0.01208932748743408,0.01286154167089337,0.013325156523798823,0.01369946441536272,6186.689401896373,0.9995540486544765,0.011261787078278,0.00126390844863196
"1,3,3",hispanic,10,lost_dad,0.032460141807400616,3.6983658999113743e-5,0.002813489451117589,0.02698372219231806,0.027834856129316826,0.02884925823942511,0.0305350977553482,0.03245540298373065,0.03434948814616649,0.036081605463567715,0.03712493415587425,0.038033443367936993,5787.231163815986,1.0003522618434748,0.0324731889745645,0.00279657517788505
"1,3,4",hispanic,10,lost_both,0.0016491669380507747,5.743414142856142e-5,0.004413541948894694,-0.00701812483812051,-0.005594237755897491,-0.003943407043978264,-0.0013568923027101887,0.0016295686878509685,0.004732526427331213,0.007282777042583955,0.008804882051436307,0.010183562754656027,5905.19510285182,1.000059871540738,0.00166132303249961,6.3072468708625e-4
"1,4,1",hispanic,15,lost_none,0.9289228995544518,4.780888298616084e-5,0.003666639241308143,0.9217628947103114,0.9228635338719641,0.924159861373577,0.926444422274658,0.9289524853096636,0.9314029406219401,0.9335859836689413,0.9350538148239349,0.936025653195445,5881.9207714254935,0.9999420935654685,0.928825549388559,0.0036983923830469
"1,4,2",hispanic,15,lost_mom,0.016653592355141363,2.0466878376378072e-5,0.0015612414655757291,0.013614044116631007,0.01408588813109702,0.014657010908666696,0.015581883659240462,0.016642061781959847,0.017705567175633687,0.01867059388824212,0.01924655457453876,0.01967995518666628,5818.8469871898915,1.000607968253344,0.0166456515280636,0.00156004905361494
"1,4,3",hispanic,15,lost_dad,0.05097325027989769,4.456752080217923e-5,0.0033685389863197727,0.044391916879680325,0.04539342256825366,0.046610540542649515,0.048740582861697475,0.05097373372527724,0.05327436455627139,0.05526147414850539,0.05649463645227811,0.057515698785053734,5712.762962989243,1.0000217517765935,0.0510019393278255,0.00329808736566887
"1,4,4",hispanic,15,lost_both,0.003450257810509103,6.79531413889879e-5,0.005187175971546849,-0.006666083143846247,-0.005018974563429435,-0.00318910697874466,-8.148267650659458e-5,0.003474682124900541,0.00692440168189995,0.010103269626643385,0.012028334604306848,0.01369360080562354,5826.971392780961,0.9998518078823745,0.00352685975555534,8.5621598775803e-4
"1,5,1",hispanic,20,lost_none,0.8908734089078535,6.0944464901740136e-5,0.004657667704382849,0.8818820779283749,0.8832171907827706,0.884893878473801,0.887820471574705,0.890879887379255,0.8939989464076065,0.8968761228102867,0.8984285386283867,0.899959554404237,5840.747956234208,0.9998642470683237,0.890929550916774,0.00472886437852792
"1,5,2",hispanic,20,lost_mom,0.025341749314624885,2.899667149832571e-5,0.002278528049901766,0.02085405583310121,0.021561619018628464,0.02238874979791378,0.023823979122978803,0.025344612232079452,0.026912893701934365,0.028242624405958615,0.029067112306053695,0.029755365153811844,6174.651654466248,1.0002406909808408,0.025315312559379,0.00226384007273818
"1,5,3",hispanic,20,lost_dad,0.07583061254956709,5.4069686880432544e-5,0.004094474506155416,0.06794199476419129,0.06918469369111475,0.07061739392729297,0.0731065890678437,0.07573234909554732,0.07860314923542827,0.08117719215042397,0.08265686751633551,0.08407329726820942,5734.408581923372,0.999563378883433,0.0758614732925505,0.00405756274237803
"1,5,4",hispanic,20,lost_both,0.00795422922795453,8.826631949847844e-5,0.006600091803558141,-0.005059783503373494,-0.003112284208157235,-5.17460364531952e-4,0.0036476318983475198,0.007960774966622008,0.0123822867534997,0.01649301649055907,0.01867829052429783,0.021075858069812645,5591.262948920596,0.9997233285125267,0.00789366323128673,0.00130354341744868
"1,6,1",hispanic,25,lost_none,0.8390801040946231,7.85315317817243e-5,0.006103391755951294,0.826827155008744,0.8290673438847345,0.8313941059322165,0.8350136930793575,0.8389717546995696,0.8432212651777741,0.8467600171358428,0.8493315253716358,0.8511703245212288,6040.2422433181255,1.000048190160305,0.839119805760193,0.00606276325559515
"1,6,2",hispanic,25,lost_mom,0.038936675420396916,3.789242292185292e-5,0.002935427895351943,0.033211355493388085,0.03403609161126352,0.03519630096775137,0.03696271986738389,0.038946725194224374,0.040941451849047045,0.042663992275076966,0.04369728352460309,0.044758171205048,6001.199746921663,0.9995836182552275,0.0390095693496654,0.00295744160554761
"1,6,3",hispanic,25,lost_dad,0.10619884099558972,6.927360550874071e-5,0.005324904259391425,0.09546116669035809,0.09730080911127952,0.0992918392533829,0.10270228789955957,0.1062650901363131,0.10981194727763453,0.11300239394416722,0.11482544319377422,0.1164024954689315,5908.646705903861,1.0000959522592023,0.106260824259403,0.00523835224146917
"1,6,4",hispanic,25,lost_both,0.015784379489390276,1.1184692761824208e-4,0.00864128408840378,-0.0012232607984950794,0.0016645010655198464,0.00465390359654182,0.009954396080301992,0.01585253453555996,0.021659516462766343,0.026926812862208653,0.029941559435891656,0.032836396873030645,5969.094421055677,1.0001638775854147,0.0156098006307495,0.00206036003067658
"1,7,1",hispanic,30,lost_none,0.7697362998495288,9.749931154727024e-5,0.007493873585729433,0.7550339139309244,0.7575351468133376,0.7602476600194399,0.7646911014410527,0.7697011060560852,0.7747725270675438,0.7794889116669448,0.7820453512797735,0.7842479600017307,5907.580212869372,0.999606916683027,0.769722301524111,0.00751505641321508
"1,7,2",hispanic,30,lost_mom,0.05729001263923736,5.5679260382906304e-5,0.0042045872613588,0.048947255796598976,0.05030378672248589,0.05190880018356504,0.054471422036931415,0.05728421388216651,0.06013022398560907,0.06257739419721776,0.06422344572700664,0.06556486094736912,5702.42819081561,0.9996564860201056,0.0572384550678228,0.00420593116140563
"1,7,3",hispanic,30,lost_dad,0.14157785538314174,8.045237633277985e-5,0.005762479206419929,0.13010196069413665,0.13202594079685184,0.13409542819206507,0.13768601532524857,0.1416093742267025,0.1455064805976819,0.14885896030133117,0.15090378182451356,0.15279071979698916,5130.279067021716,0.9993528586354675,0.141636369868753,0.00585671176609137
"1,7,4",hispanic,30,lost_both,0.031395832128092015,1.3341093577466634e-4,0.010314725568225635,0.011554395285423059,0.014738599407104215,0.018341215363086815,0.02433921504906808,0.03138898170147769,0.03824114309861762,0.04465894245141806,0.048509690261261354,0.05182902668838029,5977.677688921447,0.9994278267909966,0.0314028735393229,0.00304582054779768
"1,8,1",hispanic,35,lost_none,0.6913114208546706,1.1527363328693699e-4,0.008945238834568237,0.6737355641942112,0.6768001115643649,0.6798926720305359,0.6852189092704172,0.6912059897241842,0.6974076871980531,0.7029573652177095,0.706042779079147,0.7089370508260273,6021.766585732444,0.9999599967606717,0.691423159087045,0.00908828984462239
"1,8,2",hispanic,35,lost_mom,0.07439427750035568,7.05910800736824e-5,0.005477266928191682,0.06366183241952636,0.06540094777010469,0.06745437268177816,0.07069543406304231,0.07436947991534229,0.07806603567779219,0.08134841537510869,0.0835243503382218,0.085416373961567,6020.438978722381,0.9998055978719643,0.07436168034166,0.0055880435984812
"1,8,3",hispanic,35,lost_dad,0.18311551889692831,9.28885072776815e-5,0.007129596703625088,0.16913647789857075,0.17151153490624924,0.17403147388150064,0.1782771118744566,0.18302723081623745,0.18802323487011857,0.19230018747394018,0.19503759658612085,0.19717724753851387,5891.229756495015,0.999904786801918,0.183139257243431,0.0070396081230635
"1,8,4",hispanic,35,lost_both,0.051178782748045444,1.672934195519221e-4,0.012724516555173504,0.026160616275103615,0.030068839177720002,0.034631812015661026,0.04267992048727312,0.05110242183751712,0.05999962163987693,0.06735871524180934,0.07189139952023704,0.07568524686006639,5785.286424190439,0.9995551304651432,0.0510759033278735,0.00452735849483245
"1,9,1",hispanic,40,lost_none,0.5853352490715727,1.2531454648547386e-4,0.009884132019538324,0.5660954828642656,0.569259563373212,0.5725445058894004,0.5785988488363616,0.5853111524514159,0.5920675049011335,0.5981506775288148,0.6018179421678009,0.6043809723493534,6221.199115397774,1.0001284185593218,0.585264696701964,0.00985552822965078
"1,9,2",hispanic,40,lost_mom,0.08820286828710872,7.433981229176474e-5,0.0057729863199852275,0.07681486215547297,0.07867009860481787,0.08073405453822272,0.08438779349600366,0.08825953158598122,0.09211109079835594,0.09554870645073975,0.09771140199888287,0.09955951542972206,6030.56685476629,0.9995279198880841,0.0882030989856571,0.00577744958521622
"1,9,3",hispanic,40,lost_dad,0.2318702741900316,1.2231827789704444e-4,0.009429236028053796,0.21350953323056926,0.2162716623843565,0.21962363295063364,0.22545648871155669,0.23185533454756774,0.2382496085034685,0.2439240957394815,0.2474931897103823,0.25046167462516233,5942.515151307872,0.9996637624502114,0.231810479377532,0.00938813838819658
"1,9,4",hispanic,40,lost_both,0.09459160845128695,1.866096137765258e-4,0.014838961211385854,0.06593642598650674,0.07047161337649005,0.07602772474514634,0.08484952349186242,0.09417538939323827,0.10474926007930874,0.1136430559334168,0.11939031867485485,0.12360552583214338,6323.229885046424,0.9998908623347483,0.0947217249348529,0.00648806038008121
"1,10,1",hispanic,45,lost_none,0.4742289464444364,1.5389043956056747e-4,0.011684061572212141,0.451119598031719,0.45512318572894106,0.459394848721761,0.46624683895159014,0.47426246489836343,0.48223719575610335,0.48917755063042345,0.49302681885597477,0.4970769680665039,5764.536502597928,0.9995531888531906,0.474374508655492,0.0118649568316635
"1,10,2",hispanic,45,lost_mom,0.10119985436061162,9.263404355728067e-5,0.007143042575720032,0.08711677087984748,0.08940709186479513,0.092150640704913,0.09639983252509667,0.10106940788222604,0.10610697553033437,0.11027638136872961,0.11293372268415423,0.11504383518773283,5946.004504021715,1.00024368969886,0.101069873787569,0.00703396702416241
"1,10,3",hispanic,45,lost_dad,0.27335974226296006,1.4019634690620218e-4,0.01073957929609121,0.2526425386761434,0.2556696501925918,0.2594773589913827,0.2661303602725715,0.2733625926814013,0.2806013782009264,0.2870897863423144,0.29099792486822246,0.29459042289606,5868.149143228586,1.000262091376544,0.273261404203672,0.0107691758504114
"1,10,4",hispanic,45,lost_both,0.15121145693199195,2.2666555650721905e-4,0.01730550523415972,0.11728104591452636,0.12232392104990601,0.1289329105499029,0.13972081586580973,0.15124137913379565,0.16289670836801867,0.17317599387930765,0.17988273453017578,0.18540939126917916,5829.046291085678,1.0003426684924903,0.151294213353257,0.0086464216273069
"1,11,1",hispanic,50,lost_none,0.3455259596851574,1.7534465469674424e-4,0.013142833961259811,0.31972011192694466,0.3238563594625043,0.32893714032239124,0.33657024433401006,0.3455482747526035,0.354681204650934,0.3623921223685544,0.3672183228583137,0.371079793705724,5618.145472423266,0.9996902611417651,0.34565310127941,0.0129724354887731
"1,11,2",hispanic,50,lost_mom,0.10890980631326093,1.0434785927671884e-4,0.008083125398510159,0.09297411905839299,0.09561129512085782,0.0984865568111491,0.10343912901007818,0.1088474941509607,0.1145416674917378,0.11930417328410244,0.1221287938170314,0.12449503078090034,6000.556716512365,1.0009206994209012,0.108844136452204,0.00812518837471984
"1,11,3",hispanic,50,lost_dad,0.3014656125037653,1.4562837101883588e-4,0.01123269112332326,0.27930938942829225,0.28287657641959313,0.2871888830615229,0.2938330023623904,0.30155222495118006,0.3086818702970625,0.31598951389852237,0.3203114100518068,0.32344676160819447,5949.433992218415,0.9995411873734886,0.301261479659775,0.011253976485343
"1,11,4",hispanic,50,lost_both,0.24409862149781636,2.534270306886501e-4,0.019197369080496192,0.20648468244959983,0.21252905764447438,0.21982313078340499,0.23107064974947028,0.2442563605413916,0.25699762756930306,0.26903319436669526,0.2760554587280613,0.28169356501931403,5738.224808748798,0.9997717944951178,0.24424128260861,0.0108783548678758
"1,12,1",hispanic,55,lost_none,0.21828665479647913,1.8304914630544805e-4,0.014043817975815057,0.19074741621981461,0.19553107284666887,0.20049796610732912,0.20868341555031938,0.21824390385863063,0.2276492336749713,0.23649902612490822,0.24184813358262913,0.24630684831992064,5886.199373763891,0.9999572078337283,0.218293326535474,0.0138716863510254
"1,12,2",hispanic,55,lost_mom,0.10270604180873284,1.1635924728854465e-4,0.00881683226911889,0.08519985938793286,0.08813802352009645,0.09131127836282495,0.09688173934471256,0.10259242371048469,0.10853445010237882,0.11401944796385349,0.1174000925379934,0.12002116171705875,5741.473324258233,0.9995108900635546,0.102748309246645,0.00878366779260866
"1,12,3",hispanic,55,lost_dad,0.3174563053339851,1.6718627389352225e-4,0.013143153871327102,0.2920353688690677,0.2958486746059476,0.3007098011645714,0.3085456901330822,0.31767788798243446,0.3264247957666876,0.3342914960109918,0.33911745856232356,0.34308375421878445,6180.134791211326,0.9998596872449809,0.317395841196004,0.0130765808037893
"1,12,4",hispanic,55,lost_both,0.361550998060803,2.713126174553513e-4,0.021244534631979194,0.32013640604159826,0.325907592821616,0.3338432450514834,0.3468299819457889,0.3620248326170542,0.3763439619666595,0.38855505540752733,0.39596752833492216,0.40202542836550653,6131.326761908661,0.9995000324892791,0.361562523021868,0.0149262326764375
"1,13,1",hispanic,60,lost_none,0.07979849960922931,1.298910466378155e-4,0.009756504753460194,0.06079771202440883,0.06365230614641669,0.06721298372882821,0.07326089936342882,0.07977869462729933,0.0863256586816244,0.09228933476044195,0.09588362544963187,0.09868934644604589,5641.961112067718,0.9995530335240237,0.0797830153977814,0.00995924427003543
"1,13,2",hispanic,60,lost_mom,0.06366705662278054,9.511538849100529e-5,0.007426165870913432,0.04882084012147004,0.051395127191370314,0.054087905657327684,0.058657073409574524,0.06365826667775606,0.06871141320840872,0.0731073631307839,0.07586683690175171,0.0780713720441316,6095.758018798285,1.000182951469608,0.0636085575424591,0.00749399112645908
"1,13,3",hispanic,60,lost_dad,0.1858999935718592,1.4965624146382278e-4,0.011701613450991669,0.16295100982233382,0.16678655263773132,0.17081455944088508,0.17800361069520287,0.18600856702992363,0.19380207283259,0.20089317279700308,0.2051609790658394,0.20855736791216134,6113.66766841118,1.0001639354127068,0.185842725008421,0.0115828810321346
"1,13,4",hispanic,60,lost_both,0.670634450196131,2.1726425489603207e-4,0.016834257886027545,0.637855666247633,0.6430386829970625,0.6490841260442148,0.6592303127835275,0.6705254175111384,0.6821122509151432,0.6923862932025034,0.6984010927588457,0.7034159390116578,6003.595049480277,0.9997267948000372,0.670765702051336,0.0165702924346519
"2,1,1",non-hispanic black,0,lost_none,0.9909106180682702,1.634696091700953e-5,0.0012741729735864632,0.9884727366682884,0.9888432754416756,0.989266357540514,0.9900364152957433,0.9908978820365899,0.9917813263364966,0.992530922877023,0.9930138612589718,0.9934286919552267,6075.509852730402,0.9997610057416647,0.990931613970193,0.00128007164305004
"2,1,2",non-hispanic black,0,lost_mom,0.0020241610404707782,7.4376478363416355e-6,5.649736126686561e-4,8.922325974350454e-4,0.00109167821627115,0.0013096513186808105,0.0016512981939694191,0.002030012194221244,0.0024029521162777135,0.002738093742585082,0.0029567046236485635,0.0031375131780814465,5770.123470481896,0.9999540820187629,0.00202354503713206,5.6869935016142e-4
"2,1,3",non-hispanic black,0,lost_dad,0.006785369568892453,1.3884635666480783e-5,0.0010897433611758256,0.0046218877800816936,0.004987637496880661,0.005384113821538143,0.006061729837840484,0.0067917563023973115,0.007519225938455874,0.008170524203797762,0.00859114339033648,0.008920414213478636,6159.982625380081,0.9999511885573357,0.00678131354383404,0.0010993919838416
"2,1,4",non-hispanic black,0,lost_both,2.798513223666215e-4,2.2542323265584167e-5,0.0017700320687363525,-0.003244987078367678,-0.0026726611144140544,-0.0020449872165324346,-8.887349970274627e-4,3.1746484005240605e-4,0.0014746119726846418,0.0025568416080956505,0.0031937123057831605,0.003720059865022061,6165.452024844658,1.0000072165143896,2.6352744884245e-4,2.0914792112684e-4
"2,2,1",non-hispanic black,5,lost_none,0.9677109661665386,4.078873351529812e-5,0.0032058809684588204,0.961253486125061,0.9623302328597667,0.963555621250781,0.965623609514866,0.9677661490537993,0.9698506909838895,0.9717097977139033,0.9730001849495625,0.973944385330358,6177.5226326848515,0.9996506162446871,0.96766654745519,0.00320373146436922
"2,2,2",non-hispanic black,5,lost_mom,0.008534883145118797,1.664921840665788e-5,0.0013245882638209066,0.005940437984275351,0.006349990480831631,0.006824156147407651,0.0076376204474055895,0.00855106224619575,0.009437573830206407,0.01022558884154151,0.010698363762236025,0.011118240880323288,6329.568504843106,1.0002746865952488,0.00854367200289076,0.00132707596764218
"2,2,3",non-hispanic black,5,lost_dad,0.02257270641319819,3.5812167989866716e-5,0.0027498498776485666,0.01707275463129055,0.018000012120584566,0.019047860886790238,0.020745989072069718,0.022626474549565463,0.02442684032099717,0.026076980666644003,0.027062488777890015,0.02790968101879426,5895.990078774328,1.0000623640560158,0.0225913735356613,0.00273362960692613
"2,2,4",non-hispanic black,5,lost_both,0.0011814442751443912,5.680979561561869e-5,0.004443739542832458,-0.007407229423513356,-0.005938998144086916,-0.004516358814912769,-0.0018096365751136823,0.001137234213034355,0.004165593319150646,0.006947381525326968,0.008565414715944897,0.009976762843349621,6118.581348765622,0.9998114891432806,0.00119840700626692,5.2002966162535e-4
"2,3,1",non-hispanic black,10,lost_none,0.9374247651522599,5.9675628257262614e-5,0.004642394808921829,0.9283475852491969,0.9298119425037382,0.9313515627980148,0.9342526184066026,0.937527369309751,0.9405975198496294,0.9432756378362782,0.9449197083415332,0.9464901944960908,6051.877715525173,0.999970655436522,0.937436300443776,0.00463946652365306
"2,3,2",non-hispanic black,10,lost_mom,0.018525583979443344,2.8901896662948745e-5,0.002258275403895606,0.014218829947287535,0.014853838417780008,0.015579455365336782,0.01697294009242078,0.018548455394309108,0.02004165754315203,0.021453195937122735,0.02222300913798367,0.022889032627579537,6105.217227410237,0.9999302053233488,0.0184756702093325,0.00226858897446168
"2,3,3",non-hispanic black,10,lost_dad,0.04175788971748347,5.196701025580483e-5,0.004045064235090678,0.03393358110697524,0.03521917955921396,0.03664216841133139,0.038970972190635625,0.04168361194963706,0.044545129702324916,0.046995624050690736,0.04843335829000103,0.04963337882427237,6058.922274675175,0.9997814641178493,0.0417649307602187,0.00403880743896134
"2,3,4",non-hispanic black,10,lost_both,0.0022917611508132788,8.353756003213882e-5,0.006552074656783344,-0.010486546492197301,-0.008573801649664514,-0.0061016481638665795,-0.002094942295674529,0.002326250059159818,0.00674094122364563,0.01056058833154894,0.012907999040113019,0.015020110031599638,6151.685184576646,0.9998920599435516,0.00232309858667188,7.7865202379037e-4
"2,4,1",non-hispanic black,15,lost_none,0.8956889391923959,7.983651934267383e-5,0.006190260599371038,0.8836863490645472,0.8854439937786551,0.8875889202948369,0.8914694470951027,0.8956709352374674,0.8999199226845052,0.9036268335379661,0.9057831302168186,0.9076372921870876,6011.940526830166,0.9999606370481697,0.895842179563392,0.00611122565558412
"2,4,2",non-hispanic black,15,lost_mom,0.029471022276908794,4.6595869942230764e-5,0.0035815647476973157,0.02249971109588062,0.023649374814487787,0.024840181452581295,0.0270652971127308,0.02945550526663197,0.03192760051864202,0.03406591480649005,0.03526128053095402,0.03641204485255681,5908.139821385653,0.9998238377966625,0.0294753214331685,0.00358133689693539
"2,4,3",non-hispanic black,15,lost_dad,0.06766217069243048,6.289201695558888e-5,0.004870034478282234,0.05815323098951883,0.05958069502790802,0.06135293985235451,0.06432370626957844,0.06769654785406132,0.07102701446195782,0.07386548370187973,0.07564686219957258,0.0769764925454026,5996.157420609718,1.0006705032916978,0.0676814061592888,0.00492259832290578
"2,4,4",non-hispanic black,15,lost_both,0.007177867838264855,1.0972084776702647e-4,0.008726129068068295,-0.009626845456339976,-0.0069617372329181864,-0.0038570113441356085,0.0011898417282014406,0.007074985297881586,0.013041777974548807,0.01842299444935185,0.02160245046098125,0.024586188176915276,6325.064455905246,1.000000484832769,0.00700109284414178,0.00149943484246917
"2,5,1",non-hispanic black,20,lost_none,0.8444874945403658,9.045153130740514e-5,0.007034928384704479,0.8305482004472368,0.8329060652377809,0.8355139017062754,0.8396166147907975,0.8444935290332327,0.8491518552012531,0.8534352801891617,0.856114586828662,0.8584359419948842,6049.054731728668,0.9998378267792534,0.84445111069401,0.00708343628026807
"2,5,2",non-hispanic black,20,lost_mom,0.04158348529765496,5.261304339826497e-5,0.004108662464928261,0.0335294699177161,0.03491659081847244,0.03635516423415343,0.038841968395741916,0.04156354251827514,0.04432760754233911,0.046834238605390176,0.04838894654191414,0.04992892228723542,6098.374356398804,1.0000988017294985,0.0415637556713471,0.0041082334431573
"2,5,3",non-hispanic black,20,lost_dad,0.09939531505197659,7.120251359875886e-5,0.005414152806726483,0.08897510832427902,0.09076798988701297,0.0925583763830551,0.09572215957690468,0.09924010907480946,0.10296136169076363,0.10650255144223261,0.1085122179393298,0.11042627995798997,5781.8972166970125,0.9999633566298606,0.0994480671887562,0.00551679336080189
"2,5,4",non-hispanic black,20,lost_both,0.014533705110002737,1.2856345528946392e-4,0.009859959666142748,-0.004713880970127033,-0.0018173608856395299,0.0018139251351828587,0.007819305095905393,0.014661413659906919,0.021187734887012782,0.026938106785049366,0.030767819779452078,0.034052679670149744,5881.867061781578,0.9995593467519999,0.0145370664458862,0.0024282791206152
"2,6,1",non-hispanic black,25,lost_none,0.7828100760045,1.1400956180889185e-4,0.008826555513693563,0.765540651976463,0.7684228680616784,0.7716135098123753,0.7766686302001742,0.7828055351891896,0.7887223407345576,0.7942135181813579,0.7972209771830956,0.8000313518109647,5993.76844560752,0.9995844256661393,0.782841074197713,0.00892166473077574
"2,6,2",non-hispanic black,25,lost_mom,0.05853590105679747,6.783999455749471e-5,0.005180422027521491,0.048566162010828584,0.050077253015565336,0.0518220985970885,0.05502266405718378,0.05850395125829125,0.062052042967556134,0.06519807488016084,0.06708355511524616,0.06872515151301638,5831.209891324653,1.0000705966691967,0.0584580731045533,0.00517230010253554
"2,6,3",non-hispanic black,25,lost_dad,0.12846654041813438,8.788132781521881e-5,0.0068014415948166075,0.11495408057108905,0.11726129959216886,0.11970312448135621,0.12389932293223857,0.12842117900977007,0.13294403794093088,0.1374170631223286,0.13982184244045143,0.141677332273218,5989.750408647398,1.0005864074368336,0.128460909171226,0.00680389168474136
"2,6,4",non-hispanic black,25,lost_both,0.030187482520568177,1.585070171010594e-4,0.012252629092429352,0.006652401605297531,0.009974748958177586,0.014580156415349143,0.02186552580474113,0.030181981921871437,0.03838661632358381,0.04600005984579458,0.050488058544181855,0.05474260370557355,5975.325766684573,0.9995132146241158,0.0302399435265127,0.00398272018185031
"2,7,1",non-hispanic black,30,lost_none,0.7099449149244389,1.3511696750352186e-4,0.010338416163667197,0.6893154300988487,0.6931013583676509,0.6969106756930019,0.7029889871668533,0.7099425715046777,0.7168640439210657,0.7231715614856019,0.7268154386173149,0.7301459675153541,5854.478850826543,1.000212236619593,0.709948028352979,0.0103414350899904
"2,7,2",non-hispanic black,30,lost_mom,0.06483406943551649,6.890736980702113e-5,0.005321415672346306,0.054515518506907265,0.05602634930328261,0.058042731322212535,0.061305783921304376,0.06482791350779832,0.06842894368706527,0.07165413316562716,0.07368706121463169,0.07527001605648749,5963.7993350737615,1.000370650959635,0.0648499048887671,0.00525343315429223
